StreetNumber,StreetName,StreetNamePostType,Directional,strLocation,dtTime,streetID,VehicleName,Latitude,Longitude
421,MONTICELLO ,DR,N ,421-23 MONTICELLO DR N,5/16/2016 9:35,12576646,DP2,-76.1386827374,43.0049492
308,GLEN ,AVE,E ,308 GLEN AVE E & SENECA DR,5/17/2016 9:23,12576645,DP1,-76.1396357332,43.0050889033
202,GLEN ,AVE,W ,202 GLEN AVE W & FERNDALE DR,5/18/2016 14:31,12576590,DP1,-76.1460837414,43.0054681029
1202,MCBRIDE ,ST,S ,1202-04 MCBRIDE ST S & TAYLOR ST,5/23/2016 11:53,12577468,DP1,-76.1439742366,43.039526206
600,BRIGHTON ,AVE,W ,600 BRIGHTON AVE W & HUNT AVE,5/23/2016 15:00,12572098,DP1,-76.1556254398,43.0194452055
106,BARNES ,AVE, ,106 BARNES AVE,5/24/2016 13:38,12571902,DP1,-76.1605834484,43.012333698
114,MAURICE ,AVE, ,114 MAURICE AVE,5/24/2016 14:02,12571929,DP1,-76.1594407465,43.0126676024
149,MAXWELL ,AVE, ,149 MAXWELL AVE & MAINS AVE,5/26/2016 13:57,12571760,DP1,-76.1569344468,43.0058527
110,FISH ,AVE, ,110 FISH AVE & LOOMIS AVE,5/31/2016 14:33,12571784,DP1,-76.1533537442,43.0065461972
304,ESSEX ,ST, ,304 ESSEX ST,6/7/2016 8:19,12572774,DP1,-76.1975879566,43.0548074048
122,BERWYN ,AVE, ,122-24 BERWYN AVE,6/24/2016 8:40,12577307,DP2,-76.1390686357,43.024436202
518,COLVIN ,ST,E ,518 COLVIN ST E & BENEDICT AV,6/24/2016 10:27,12576899,DP2,-76.1381992372,43.026022704
600,COLVIN ,ST,E ,600-04 COLVIN ST E & BENEDICT AV,6/24/2016 10:53,12576899,DP2,-76.138181738,43.0261591021
109,EASTVIEW ,AVE, ,109 EASTVIEW AVE,7/8/2016 9:38,13006017,DP2,-76.1652266425,43.0277581023
124,FISCOE ,AVE, ,124 FISCOE AVE                                    ,7/23/2016 5:46,12576504,DP1,-76.144866138,42.9927611956
341,SENECA ,TNPK,E ,341 SENECA TNPK E & MAYWOOD D                     ,7/31/2016 7:17,12576623,DP2,-76.137459232,43.0011289025
1023,VALLEY ,DR, ,1023 VALLEY DR & FISH AVE                         ,8/4/2016 5:48,12571780,DP1,-76.1547424408,43.0068581988
3812,MIDLAND ,AVE, ,3812 MIDLAND AVE                                  ,8/6/2016 6:32,12576576,DP2,-76.1470461425,43.0020175982
106,BARNES ,AVE, ,106 BARNES AVE                                    ,8/15/2016 16:40,12571902,DP2,-76.160567144,43.0122643998
407,CLARENCE ,AVE, ,407 CLARENCE AVE & MONTICELLO                     ,8/18/2016 4:45,12576644,DP2,-76.138979433,43.0044157022
212,CRIPPEN ,AVE, ,212 CRIPPEN AVE                                   ,8/18/2016 10:49,12576585,DP2,-76.1451114409,43.0038024006
102,RILL ,AVE, ,102 RILL AVE & MIDLAND AVE                        ,8/19/2016 6:04,12576707,DP2,-76.1480682367,43.0120054013
99,ELMHURST ,AVE, ,99 ELMHURST AVE & HUNT AVE                        ,8/26/2016 6:44,12572103,DP2,-76.1550336387,43.0204972041
311,HAZELHURST ,AVE, ,311 HAZELHURST AVE                                ,9/21/2016 5:54,12581057,DP2,-76.113072137,43.0734889149
100,GEDDES ,ST,N ,100 GEDDES ST N & ERIE BLVD W                     ,9/26/2016 6:36,13002381,DP2,-76.1698479536,43.0480182068
766,GENESEE ,ST,W ,766-70 GENESEE ST W & VAN RENSSE,4/14/2016 13:50,12573787,DP1,-76.1662012517,43.0534871079
551,CORTLAND ,AVE, ,551 CORTLAND AVE & SOUTH AVE,4/15/2016 9:15,12573213,DP1,-76.1578469465,43.0285292017
110,HILLTOP ,RD, ,110 HILLTOP RD,4/18/2016 9:24,12572279,DP1,-76.1946476539,43.0276846056
1116,BELLEVUE ,AVE, ,1116-18 BELLEVUE AVE,4/19/2016 8:57,12573047,DP1,-76.1737266455,43.0328414026
610,ROWLAND ,ST, ,610 ROWLAND ST,4/19/2016 13:02,12573006,DP1,-76.1806216555,43.0356532066
275,SENECA ,TNPK,W ,275-77 SENECA TNPK W & ACADEMY G,4/20/2016 12:56,13012848,DP2,-76.1496801377,43.0008944017
100,LONG MEADOW,DR, ,100 LONG MEADOW DR & HILTON R,4/21/2016 10:58,12564382,DP2,-76.1452417415,42.9906233954
218,BELLEVUE ,AVE, ,218 BELLEVUE AVE,4/22/2016 9:04,12573311,DP1,-76.1575647408,43.0335787073
200,HOVEY ,ST, ,200 HOVEY ST & HURON ST,4/22/2016 9:21,12573224,DP1,-76.1568982447,43.0316991033
811,WEST ,ST,S ,811 WEST ST S & S WEST ST ART,4/22/2016 11:03,13002343,DP1,-76.1568912469,43.0418714056
807,ALMOND ,ST, ,807 ALMOND ST,4/23/2016 8:10,12577739,DP2,-76.1422057413,43.0431689086
701,GENESEE ,ST,E ,701-05 GENESEE ST E & ALMOND ST,4/23/2016 13:04,12577787,DP2,-76.1420284408,43.0475839093
3500,SALINA ,ST,S ,3500 SALINA ST S & OSTRANDER A,4/27/2016 13:33,13012955,DP2,-76.1414816363,43.0142531014
217,PARRISH ,LANE, ,217 PARRISH LANE & COLDBROOK,4/28/2016 9:22,12564398,DP2,-76.140083732,42.9862218953
277,RIDER ,AVE, ,277 RIDER AVE,4/30/2016 10:31,12572901,DP2,-76.17930115,43.0276789055
127,CONIFER ,DR, ,127 CONIFER DR,5/3/2016 11:28,12564411,DP2,-76.1418457325,42.9906206948
1152,BELLEVUE ,AVE, ,1152-54 BELLEVUE AVE,5/4/2016 11:32,12572975,DP2,-76.1749577506,43.0329137047
1116,BELLEVUE ,AVE, ,1116-18 BELLEVUE AVE,5/4/2016 12:46,12573047,DP2,-76.173682646,43.0329131071
111,HARDING ,PL, ,111 HARDING PL & SALINA ST S,5/6/2016 9:03,12576524,DP2,-76.1430751398,42.9934441963
201,FERNDALE ,DR, ,201 FERNDALE DR & GLEN AVE W,5/18/2016 11:14,12576581,DP1,-76.1460049412,43.0052486032
413,FRANKLIN ,ST,N ,413 FRANKLIN ST N & RT 690,5/19/2016 14:08,13001149,DP1,-76.1564366454,43.054810608
721,BALLANTYNE ,RD, ,721 BALLANTYNE RD & GIRARD AV,5/20/2016 11:00,12571945,DP1,-76.1523494456,43.0098113979
314,ATLANTIC ,AVE, ,314 ATLANTIC AVE,5/21/2016 11:18,12571953,DP1,-76.1530976435,43.0108621033
722,BALLANTYNE ,RD, ,722 BALLANTYNE RD & GIRARD AV,5/23/2016 11:05,12576687,DP1,-76.1523901393,43.0100856977
100,ELMHURST ,AVE, ,100 ELMHURST AVE & HUNT AVE,5/23/2016 14:15,12572132,DP1,-76.1557286472,43.0210837008
103,SENECA ,PL, ,103 SENECA PL,5/24/2016 9:49,12571728,DP1,-76.1595499457,43.0037740994
135,MAURICE ,AVE, ,135 MAURICE AVE & BARNES AVE,5/24/2016 13:33,12571902,DP1,-76.16053944,43.0122216976
126,ST LOUIS,AVE, ,126 ST LOUIS AVE,5/26/2016 9:30,12571924,DP1,-76.1580551401,43.0089378972
822,VALLEY ,DR, ,822 VALLEY DR & CAMP AVE,5/26/2016 10:27,12571771,DP1,-76.1563319468,43.0080741982
822,VALLEY ,DR, ,822 VALLEY DR & CAMP AVE,5/26/2016 10:35,12571771,DP1,-76.1560939382,43.0080418984
140,BRADFORD ,ST, ,140-48 BRADFORD ST & MAINS AVE,5/26/2016 11:51,12571775,DP1,-76.1564191463,43.0053976999
151,BRADFORD ,ST, ,151 BRADFORD ST & MAINS AVE,5/27/2016 8:49,13020790,DP1,-76.156603238,43.0051362024
922,BALLANTYNE ,RD, ,922 BALLANTYNE RD & LOOMIS AV,5/31/2016 15:15,12571938,DP1,-76.1542676452,43.0097212014
930,HIGHLAND ,ST, ,930 HIGHLAND ST,6/2/2016 9:49,12580116,DP1,-76.1416296427,43.0654397144
126,SALINA ,ST,N ,126-28 SALINA ST N,6/2/2016 10:59,12577845,DP1,-76.1522709419,43.0516869054
120,CORNING ,AVE,W ,120 CORNING AVE W,6/3/2016 10:55,12576806,DP1,-76.1432136421,43.0187594003
6,MIDLER ,AVE, ,6 MIDLER AVE FROM EB I 690 RAMP SYRACUSE 13210,6/4/2016 7:47,13001828,DP1,-76.1082439259,43.0560624088
802,SPRING ,ST, ,802 SPRING ST,6/21/2016 15:18,12580155,DP2,-76.1514844489,43.0687614096
216,BOISE ,DR, ,216 BOISE DR & HARRIETTE AVE,6/22/2016 9:02,12576983,DP2,-76.1303492372,43.0239056054
800,IRVING ,AVE, ,800 IRVING AVE & VANBUREN ST                      ,7/31/2016 8:21,12577490,DP2,-76.1383699351,43.0386217044
126,KEEN ,PL, ,126 KEEN PL                                       ,8/6/2016 7:39,12571964,DP2,-76.158503642,43.015382602
102,FAIRFIELD ,AVE, ,102 FAIRFIELD AVE                                 ,8/17/2016 5:43,12572007,DP2,-76.1628471491,43.0170278987
110,CLAYTON ,AVE, ,110 CLAYTON AVE & LYNCH AVE                       ,8/18/2016 7:40,12571819,DP2,-76.1693984457,43.0145314012
642,NEWELL ,ST,W ,642 NEWELL ST W & ONONDAGA CR                     ,8/26/2016 6:16,12572083,DP2,-76.1558016443,43.0177426025
312,ONONDAGA ,AVE, ,312 ONONDAGA AVE                                  ,9/22/2016 7:34,13002131,DP2,-76.1648674512,43.0313894014
513,LEMOYNE ,AVE, ,513-15 LEMOYNE AVE,4/13/2016 13:30,12575264,DP2,-76.1616361482,43.0718641097
247,GRANT ,BLVD, ,247 GRANT BLVD,4/15/2016 10:42,13012325,DP1,-76.1184491379,43.0700949158
272,CHAFFEE ,AVE, ,272 CHAFFEE AVE & HOPPER RD,4/16/2016 12:46,12571704,DP2,-76.1597317467,42.9978933971
104,HOPPER ,RD, ,104 HOPPER RD,4/18/2016 9:19,12571720,DP2,-76.1588787425,43.0028463994
100,INVERNESS ,PL, ,100 INVERNESS PL & HUNTINGTON,4/18/2016 10:35,12572294,DP1,-76.1956581597,43.0305777039
2247,VALLEY ,DR, ,2247 VALLEY DR & CRAFTON AVE,4/19/2016 9:24,12564371,DP2,-76.1521779393,42.9919510965
610,ROWLAND ,ST, ,610 ROWLAND ST,4/19/2016 13:00,12573006,DP1,-76.1805846538,43.0356524055
139,ACADEMY ,PL, ,139 ACADEMY PL & NORMANOR DR,4/19/2016 13:06,12576499,DP2,-76.1515319428,42.9957905981
125,BISSELL ,ST,W ,125-27 BISSELL ST W,4/21/2016 11:27,12573172,DP1,-76.1601389441,43.0258542057
120,JULIAN ,PL, ,120 JULIAN PL,4/27/2016 10:07,12577142,DP2,-76.1109294304,43.0217529035
109,EDNA ,RD, ,109 EDNA RD,4/28/2016 11:03,12564393,DP2,-76.1416506364,42.9851111982
5583,SALINA ,ST,S ,5583 SALINA ST S & RICHFIELD A,5/3/2016 10:52,12564409,DP2,-76.1436341345,42.9890073949
92,BRIGHTON ,AVE, E,92 E BRIGHTON AVE TO NB I 81 RAMP SYRACUSE 13210,5/5/2016 10:59,13002029,DP2,-76.1319691332,43.0078135989
111,HARDING ,PL, ,111 HARDING PL & SALINA ST S,5/6/2016 8:58,12576524,DP2,-76.143253141,42.9934208971
761,ONONDAGA ,ST,W ,761-65 ONONDAGA ST W & TALLMAN S,5/7/2016 7:54,12573261,DP2,-76.1637251445,43.0353397032
301,LOOMIS ,AVE, ,301-03 LOOMIS AVE,5/7/2016 9:59,12571787,DP2,-76.1539487433,43.0083843986
121,LORRAINE ,AVE, ,121 LORRAINE AVE,5/12/2016 10:12,12577496,DP1,-76.1322231319,43.0245486069
285,LORRAINE ,AVE, ,285 LORRAINE AVE,5/12/2016 10:46,12576974,DP1,-76.1319662317,43.021790102
415,JAMESVILLE ,AVE, ,415 JAMESVILLE AVE,5/12/2016 13:05,13002071,DP1,-76.1333974366,43.0218859025
415,MONTICELLO ,DR,N ,415 MONTICELLO DR N,5/16/2016 9:23,12576646,DP2,-76.1386759372,43.0048723979
202,GLEN ,AVE,W ,202 GLEN AVE W & FERNDALE DR,5/18/2016 14:30,12576590,DP1,-76.1461544389,43.0054654029
389,SPENCER ,ST, ,389 SPENCER ST TO LEAVENWORTH,5/19/2016 10:15,12575051,DP1,-76.1643046476,43.0573776093
119,PIERCE ,ST, ,119 PIERCE ST,5/20/2016 9:34,12576704,DP1,-76.1487727405,43.0113191978
248,EVALEEN ,AVE, ,248 EVALEEN AVE,5/20/2016 10:24,12576684,DP1,-76.1511546414,43.0087686031
1025,BALLANTYNE ,RD, ,1025 BALLANTYNE RD & SHERLEY D,5/21/2016 9:04,12571937,DP1,-76.1550849414,43.0093667008
524,ATLANTIC ,AVE, ,524 ATLANTIC AVE,5/21/2016 10:58,12571951,DP1,-76.1555471426,43.0112176004
115,COURT ,ST,W ,115 COURT ST W,5/23/2016 8:58,12575079,DP1,-76.1604151491,43.0637947113
232,MARGUERITE ,AVE, ,232 MARGUERITE AVE & BISHOP A,5/24/2016 9:15,12572077,DP1,-76.1579074481,43.0199707046
134,MAXWELL ,AVE, ,134 MAXWELL AVE,5/26/2016 11:16,12571776,DP1,-76.1563381452,43.0062990977
148,OAKDALE ,DR, ,148 OAKDALE DR & MAINS AVE,5/27/2016 8:43,12571770,DP1,-76.1576434422,43.0071969021
231,MILBURN ,DR, ,231 MILBURN DR,6/1/2016 9:11,12576573,DP1,-76.1505906431,43.0031749027
1206,WOLF ,ST, ,1206 WOLF ST,6/2/2016 8:42,12575599,DP1,-76.1561801495,43.081902716
471,OSWEGO ,BLVD, ,471-81 OSWEGO BLVD,6/14/2016 10:18,13018179,DP2,-76.1520861404,43.0539477118
251,CROLY ,ST, ,251 CROLY ST,6/17/2016 8:57,12578715,DP1,-76.1124276317,43.0462379063
428,CANNON ,ST, ,428 CANNON ST & FOREST AVE,6/30/2016 13:33,12576827,DP1,-76.1466119419,43.0212821014
314,SUMMIT ,AVE, ,314 SUMMIT AVE & CROSSETT ST,7/8/2016 9:45,13002153,DP2,-76.1656361485,43.0282256042
245,ARLINGTON ,AVE, ,245-47 ARLINGTON AVE & CHARMOUTH                  ,7/30/2016 9:22,12572032,DP2,-76.1661681488,43.0212457038
525,GLENWOOD ,AVE, ,525 GLENWOOD AVE & WELLESLEY                      ,8/8/2016 10:57,12571859,DP2,-76.1690061514,43.0193357007
525,GLENWOOD ,AVE, ,525 GLENWOOD AVE & WELLESLEY                      ,8/8/2016 10:58,12571859,DP2,-76.1689451468,43.0193541037
134,CONAN ,ST, ,134 CONAN ST                                      ,8/19/2016 6:45,12576703,DP2,-76.1497877379,43.0109584004
504,STATE FAIR,BLVD, ,504-08 STATE FAIR BLVD                            ,8/24/2016 10:31,12574976,DP2,-76.1816252533,43.0592124117
315,CLINTON ,ST,N ,315 CLINTON ST N                                  ,9/20/2016 7:01,12573903,DP2,-76.1537224487,43.0526942071
119,CLINTON ,ST,S ,119-33 CLINTON ST S & WASHINGTON                  ,9/20/2016 7:16,12573885,DP2,-76.1535831469,43.049975409
104,MARIS ,DR, ,104 MARIS DR,4/16/2016 10:04,12571723,DP2,-76.156798945,43.0006508994
261,HOPPER ,RD, ,261 HOPPER RD,4/18/2016 10:38,12571704,DP2,-76.159708139,42.9980698957
113,CHAFFEE ,AVE,E ,113 CHAFFEE AVE E,4/18/2016 11:07,12576514,DP2,-76.1513691411,42.9978786013
811,WEST ,ST,S ,811 WEST ST S & S WEST ST ART,4/22/2016 10:13,13002343,DP1,-76.1571699492,43.0417537079
5802,SALINA ,ST,S ,5802-04 SALINA ST S & SPAULDING A,4/25/2016 11:09,12564396,DP2,-76.1438872348,42.9868838946
4,ADAMS ,ST, E,4 E ADAMS ST TO SB I 81 RAMP SYRACUSE 13202,5/7/2016 7:08,13002420,DP2,-76.1427222367,43.0425126039
159,BISSELL ,ST,E ,159 BISSELL ST E,5/9/2016 10:00,12573177,DP2,-76.1572114424,43.0248772043
203,CHELTENHAM ,RD,E ,203 CHELTENHAM RD E & COLDBRO,5/9/2016 13:20,12576543,DP2,-76.1399302368,42.9953636972
238,SENECA ,TNPK,E ,238 SENECA TNPK E & MONTICELL,5/10/2016 10:49,12576561,DP2,-76.1386847407,42.999837199
128,MONTICELLO ,DR,S ,128 MONTICELLO DR S,5/10/2016 11:12,12576560,DP2,-76.1387399332,42.9992749001
4210,SALINA ,ST,S ,4210-24 SALINA ST S & FLORENCE AV,5/16/2016 11:21,12576599,DP2,-76.1432017394,43.0071895973
124,CLARENCE ,AVE, ,124-26 CLARENCE AVE & RANDOLPH S,5/16/2016 15:49,12576618,DP2,-76.1417622341,43.0039340983
101,THURLOW ,DR, ,101 THURLOW DR & SUNRISE DR,5/17/2016 15:57,12576545,DP1,-76.1376097357,42.9963762007
4454,SALINA ,ST,S ,4454 SALINA ST S & CRIPPEN AVE,5/18/2016 10:52,12576611,DP1,-76.1435107419,43.0038548971
415,TRACY ,ST, ,415 TRACY ST,5/19/2016 9:04,12573755,DP1,-76.164989649,43.049587609
413,FRANKLIN ,ST,N ,413 FRANKLIN ST N & RT 690,5/19/2016 14:03,13020304,DP1,-76.1567511456,43.0548661066
1025,BALLANTYNE ,RD, ,1025 BALLANTYNE RD & SHERLEY D,5/21/2016 9:02,12571937,DP1,-76.1550954427,43.0093777036
201,ATLANTIC ,AVE, ,201 ATLANTIC AVE & BALLANTYNE,5/23/2016 10:33,12576687,DP1,-76.1516541406,43.0102358994
604,BARNES ,AVE, ,604 BARNES AVE,5/24/2016 10:31,12571754,DP1,-76.1589891454,43.0071749022
149,MAXWELL ,AVE, ,149 MAXWELL AVE & MAINS AVE,5/26/2016 13:57,12571760,DP1,-76.1569369442,43.0058346018
148,OAKDALE ,DR, ,148 OAKDALE DR & MAINS AVE,5/27/2016 8:36,12571770,DP1,-76.1576594412,43.0073070986
327,ENGLEWOOD ,AVE, ,327 ENGLEWOOD AVE & AMES AVE,5/31/2016 9:28,12571734,DP1,-76.1574927408,43.0040606979
501,BRIGHTON ,AVE, ,501 BRIGHTON AVE W REAR,6/1/2016 10:17,12572106,DP1,-76.1539714437,43.018961204
2030,ONONDAGA CREEK,BLVD, ,2030 ONONDAGA CREEK BLVD,6/1/2016 15:12,12571962,DP1,-76.1551687453,43.0133921045
176,CORNING ,AVE,W ,176 CORNING AVE W,6/3/2016 13:29,12576806,DP1,-76.144924241,43.018545104
112,CRYSLER ,ST, ,112 CRYSLER ST,6/4/2016 9:25,12573394,DP1,-76.1813446555,43.0488027062
208,DRISCOLL ,AVE, ,208-10 DRISCOLL AVE & MYRTLE AVE,6/4/2016 10:12,12572758,DP1,-76.1974029575,43.0529156049
101,EDGEMONT ,DR, ,101 EDGEMONT DR & ENFIELD PL,6/6/2016 10:27,12578674,DP1,-76.0928176246,43.0393692083
1614,TEALL ,AVE, ,1614 TEALL AVE,6/6/2016 14:58,12580537,DP1,-76.1230054379,43.0704461127
1603,TEALL ,AVE, ,1603 TEALL AVE,6/6/2016 14:59,12580537,DP1,-76.1230227394,43.070333116
101,MALCOLM ,ST, ,101 MALCOLM ST & ONONDAGA ST,6/7/2016 13:56,12573244,DP1,-76.1664214468,43.0344119023
427,LILLIAN ,AVE, ,427 LILLIAN AVE,6/7/2016 15:14,12581407,DP1,-76.111045933,43.0743227161
113,HOBART ,AVE, ,113 HOBART AVE,6/8/2016 13:21,12576764,DP2,-76.140395636,43.0128011006
103,HOBART ,AVE, ,103 HOBART AVE,6/8/2016 13:24,12576764,DP2,-76.1409701356,43.0127607043
804,SPRING ,ST, ,804 SPRING ST,6/21/2016 15:19,12580155,DP2,-76.1516039428,43.0688849093
362,BUCKINGHAM ,AVE, ,362 BUCKINGHAM AVE & ANDOVER,6/23/2016 15:35,12577519,DP2,-76.1208977297,43.0277894067
301,MARGUERITE ,AVE, ,301 MARGUERITE AVE & BISHOP A                     ,8/1/2016 8:23,12572075,DP2,-76.1580142398,43.0196872015
1813,VALLEY ,DR, ,1813 VALLEY DR                                    ,8/11/2016 7:02,12571712,DP2,-76.1528411385,42.9982955968
209,FAIRFIELD ,AVE, ,209 FAIRFIELD AVE & FLETCHER                      ,8/17/2016 6:10,12571912,DP2,-76.1665702437,43.0163886016
504,STATE FAIR,BLVD, ,504-08 STATE FAIR BLVD                            ,8/24/2016 10:11,12574976,DP2,-76.181428657,43.0592727108
101,GILBERT ,AVE, ,101 GILBERT AVE & JOHN ST                         ,9/15/2016 7:33,12580178,DP2,-76.1454922457,43.0664112135
225,SHERBOURNE ,RD, ,225 SHERBOURNE RD                                 ,9/19/2016 5:23,12578457,DP2,-76.1088094333,43.0320634035
101,GEDDES ,ST,N ,101-03 GEDDES ST N & ERIE BLVD W                  ,9/26/2016 6:10,12573466,DP2,-76.1713689541,43.0481681056
212,KRAMER ,DR, ,212 KRAMER DR & RIVERDALE DR,4/16/2016 9:10,12571737,DP2,-76.15551174,43.0009073967
2043,BELLEVUE ,AVE, ,2043 BELLEVUE AVE & AUSTIN AVE,4/18/2016 11:06,12572335,DP1,-76.1883264517,43.0312841009
134,NORMANOR ,DR, ,134 NORMANOR DR,4/20/2016 9:46,12576513,DP2,-76.1507539389,42.9959901973
100,LONG MEADOW,DR, ,100 LONG MEADOW DR & HILTON R,4/21/2016 11:05,12564382,DP2,-76.1452871334,42.9906108976
134,HURON ,ST, ,134 HURON ST,4/22/2016 9:18,12573224,DP1,-76.1566079452,43.0317409054
164,SEYMOUR ,ST, ,164 SEYMOUR ST,4/23/2016 10:15,12573649,DP1,-76.1569064464,43.0425712058
650,WATER ,ST,E ,650 WATER ST E & ALMOND ST,4/23/2016 11:31,12577993,DP2,-76.1421907395,43.0502187092
807,ALMOND ,ST, ,807 ALMOND ST,4/23/2016 13:25,12577739,DP2,-76.1422706446,43.0441982055
125,EDNA ,RD, ,125 EDNA RD,4/29/2016 13:32,12564393,DP2,-76.1405394383,42.9851578949
300,STRATHMORE ,DR, ,300 STRATHMORE DR & STINARD A,4/30/2016 10:52,12571870,DP2,-76.1726957478,43.0210797012
5523,SALINA ,ST,S ,5523 SALINA ST S & CONIFER DR,5/4/2016 8:58,12564411,DP2,-76.1438851328,42.9905748958
201,BRAMPTON ,RD, ,201 BRAMPTON RD & COLDBROOK D,5/4/2016 10:34,12576534,DP2,-76.1398701395,42.9924841967
104,MUNSON ,DR, ,104 MUNSON DR,5/5/2016 9:19,12576555,DP2,-76.1397617398,42.9995793963
116,MUNSON ,DR, ,116 MUNSON DR,5/5/2016 9:26,12576555,DP2,-76.1399496404,42.9985638971
135,HARDING ,PL, ,135 HARDING PL,5/6/2016 9:23,12576524,DP2,-76.1422847392,42.9934744011
204,MONTICELLO ,DR,S ,204 MONTICELLO DR S,5/10/2016 11:26,12576557,DP2,-76.1388067319,42.9981246966
521,STATE ,ST,S ,521-699 STATE ST S,5/11/2016 8:49,12577699,DP2,-76.1472019463,43.0462622096
817,SALINA ,ST,S ,817-29 SALINA ST S,5/11/2016 9:40,13002503,DP2,-76.1503252449,43.0394714092
1002,SALINA ,ST,S ,1002-22 SALINA ST S & CORTLAND AV,5/11/2016 10:14,12577366,DP2,-76.1502184442,43.0372289067
2226,MIDLAND ,AVE, ,2226-28 MIDLAND AVE & NEWELL ST W,5/11/2016 11:28,12576790,DP2,-76.1483564432,43.017281904
286,LORRAINE ,AVE, ,286 LORRAINE AVE,5/12/2016 10:52,12576974,DP1,-76.132007635,43.0217284066
415,JAMESVILLE ,AVE, ,415 JAMESVILLE AVE,5/12/2016 13:04,13002071,DP1,-76.1332606321,43.0218049052
621,BALLANTYNE ,RD, ,621 BALLANTYNE RD & CORAL AVE,5/20/2016 9:43,12576690,DP1,-76.1505162447,43.0100636003
626,ATLANTIC ,AVE, ,626 ATLANTIC AVE,5/21/2016 10:43,12571933,DP1,-76.1565094449,43.0111577007
606,ATLANTIC ,AVE, ,606 ATLANTIC AVE,5/21/2016 10:48,12571933,DP1,-76.1559496418,43.0111886983
100,ELMHURST ,AVE, ,100 ELMHURST AVE & HUNT AVE,5/23/2016 14:12,12572132,DP1,-76.1556999461,43.0211771053
174,VALLEY VIEW,DR, ,174 VALLEY VIEW DR,5/26/2016 8:49,12571923,DP1,-76.1596542401,43.0097459002
222,ENGLEWOOD ,AVE, ,222 ENGLEWOOD AVE & MAINS AVE,5/26/2016 13:33,12571755,DP1,-76.1563806445,43.0047799015
316,ESSEX ,ST, ,316 ESSEX ST,6/4/2016 11:50,12572769,DP1,-76.1985801638,43.0544581071
620,CUMBERLAND ,AVE, ,620 CUMBERLAND AVE,6/23/2016 13:57,12578494,DP2,-76.112587433,43.034126404
400,AVERY ,AVE, ,400 AVERY AVE,6/25/2016 8:26,12572689,DP2,-76.1914766548,43.0424756083
175,HOPE ,AVE, ,175 HOPE AVE & WARNER AVE,6/30/2016 10:49,12576815,DP1,-76.1514196444,43.0216142036
111,WHITWELL ,DR, ,111 WHITWELL DR,7/8/2016 8:42,12580135,DP2,-76.137826643,43.0646191085
917,MADISON ,ST, ,917 MADISON ST #001                               ,7/27/2016 5:09,12578130,DP1,-76.1329596336,43.0452991095
1283,CANAL ,ST, ,1283 CANAL ST SYRACUSE 13210                      ,7/31/2016 6:08,13001865,DP2,-76.1061556303,43.0553026105
1801,VALLEY ,DR, ,1801 VALLEY DR                                    ,8/11/2016 7:15,12571712,DP2,-76.152909644,42.9989235979
1925,VALLEY ,DR, ,1925 VALLEY DR                                    ,8/12/2016 6:30,12571709,DP2,-76.1528454414,42.996890695
2248,SOUTH ,AVE, ,2248 SOUTH AVE & LYNCH AVE                        ,8/18/2016 6:22,12571914,DP2,-76.1649276473,43.0148314014
108,ARMSTRONG ,PL, ,108 ARMSTRONG PL & SOUTH AVE                      ,8/23/2016 11:21,12571903,DP2,-76.166073143,43.0139369008
420,JAMESVILLE ,AVE, ,420 JAMESVILLE AVE & SMITH LA                     ,8/29/2016 6:41,13028621,DP2,-76.1359446365,43.0217361038
318,NEWELL ,ST,W ,318 NEWELL ST W                                   ,9/13/2016 10:39,12576789,DP2,-76.1491474367,43.0172731029
1033,ACKERMAN ,AVE, ,1033 ACKERMAN AVE                                 ,9/16/2016 6:54,12577537,DP2,-76.1238724379,43.0309409075
474,WOODRUFF ,AVE, ,474 WOODRUFF AVE & LISTMAN AV                     ,9/22/2016 8:03,13028354,DP2,-76.1377824369,43.0746619134
100,GEDDES ,ST,N ,100 GEDDES ST N & ERIE BLVD W                     ,9/26/2016 5:57,13002381,DP2,-76.1696442517,43.0481956051
513,LEMOYNE ,AVE, ,513-15 LEMOYNE AVE,4/13/2016 11:35,12575264,DP2,-76.1617777496,43.0719577124
1500,FIRST NORTH,ST, ,1500 FIRST NORTH ST & LEMOYNE,4/13/2016 13:38,12575311,DP2,-76.1601669446,43.0738954097
214,GIFFORD ,ST, ,214-16 GIFFORD ST TO MCCORMICK A,4/15/2016 8:48,12573662,DP2,-76.1569717449,43.0435394039
1802,GRANT ,BLVD, ,1802-04 GRANT BLVD & WORDEN AVE,4/15/2016 13:08,12580293,DP1,-76.1400902448,43.0722864103
104,MACDOUGALL ,PL, ,104 MACDOUGALL PL,4/20/2016 10:52,12576566,DP2,-76.1517289433,43.0003390963
100,LONG MEADOW,DR, ,100 LONG MEADOW DR & HILTON R,4/21/2016 11:20,12564382,DP2,-76.1454476354,42.9905541976
140,SPAULDING ,AVE, ,140 SPAULDING AVE,4/22/2016 10:40,12564368,DP2,-76.1455936386,42.9870725947
5802,SALINA ,ST,S ,5802-04 SALINA ST S & SPAULDING A,4/22/2016 10:56,12564368,DP2,-76.1442251361,42.9870931956
4953,SALINA ,ST,S ,4953 SALINA ST S,4/25/2016 9:27,13002104,DP2,-76.1434157361,42.9964303986
5304,SALINA ,ST,S ,5304 SALINA ST S,4/25/2016 13:02,12576522,DP2,-76.1437492356,42.993184895
